ID	Hierarchy
3047	Automation Control > Condition Monitoring > Sensors
3045	Automation Control > Condition Monitoring > Specialty Protection Modules
4475	Automation Control > Condition Monitoring > Unsupported
521	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products
529	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > dCA (Digital Contam Alert)
531	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > dVA (Digital Visc Alert)
530	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > fCA (Ferrous Contam Alert)
535	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > Other Parts/Accessories
534	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > Other Sensors
532	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > PCM1000 (black)
533	Automation Control > Condition Monitoring > Unsupported > Oil Analysis Products > PCM9000 (grey)
1447	Automation Control > Condition Monitoring > Unsupported > Power & Energy Management
348	Automation Control > Condition Monitoring > Unsupported > Power & Energy Management > Capacitor Bank Controllers
349	Automation Control > Condition Monitoring > Unsupported > Power & Energy Management > Current Transformers
350	Automation Control > Condition Monitoring > Unsupported > Power & Energy Management > Generator and Synch Control
351	Automation Control > Condition Monitoring > Unsupported > Power & Energy Management > HVAC Sensors
1467	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis
1434	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments
540	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > 1000 Series Analyzers
541	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > 1300 Series Smart Meters
536	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > 200 Series IRD Balancers
537	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > 300 Series Analyzers and Balancers
538	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > 600 Series Analyzer-Balancers
539	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > 800 Series Analyzers and Balancers
553	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > dataLINE
542	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > DataPAC 1000
543	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > DataPAC 1250
544	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > DataPAC 1500
547	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Enpac 1200A
548	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Enpac 1200B
545	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Enpac 900A
546	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Enpac 900B
554	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Fast Track
552	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > laseTach
559	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Otros Instrumentos Antiguos
555	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > PL302
556	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Process Data Loggers: HP48GX and Husky
557	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Portable Instruments > Strobe Lights
1435	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance
560	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance > 2-Wire Transmitters
561	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance > 5800/5900 Series Monitors
562	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance > 6600 Series Monitors
526	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance > ENTRX
568	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance > EODS System
564	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Protection and Surveillance > Monitors
527	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software
596	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software > EFW (Emonitor for Windows)
597	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software > ESHAPE
598	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software > IQ2000
599	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software > LubeLink
600	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software > Motomonitor
601	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Legacy - Software > Other
522	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Portable Instruments
1883	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Portable Instruments > Dynamix 2500
549	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Portable Instruments > Enpac 2500
550	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Portable Instruments > Enpac EX
551	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Portable Instruments > enTach
558	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Portable Instruments > ViSTeC
523	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Protection and Surveillance
908	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Protection and Surveillance > Dynamix 1000
563	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Protection and Surveillance > Enwatch Surveillance Monitor
565	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Protection and Surveillance > Sentinel Protection Monitor
566	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Protection and Surveillance > VIMP/IMP Suveillance Products
567	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Protection and Surveillance > XM Series Protection Monitoring
578	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Sensors and Accessories
1436	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Software
528	Automation Control > Condition Monitoring > Unsupported > Vibration Analysis > Software > RSMACC EOL
1431	Automation Control > Design & Configuration
408	Automation Control > Design & Configuration > Arena
2967	Automation Control > Design & Configuration > ControlFLASH
4948	Automation Control > Design & Configuration > ControlFLASH Plus
5052	Automation Control > Design & Configuration > E-Plan
6213	Automation Control > Design & Configuration > FactoryTalk Action Manager
5805	Automation Control > Design & Configuration > FactoryTalk Logix Echo
5557	Automation Control > Design & Configuration > Installing Design & Configuration Software
1446	Automation Control > Design & Configuration > Legacy Programming Software
309	Automation Control > Design & Configuration > Legacy Programming Software > 100/150 PCD
310	Automation Control > Design & Configuration > Legacy Programming Software > 6200-5/250
311	Automation Control > Design & Configuration > Legacy Programming Software > 6200-PLC2
312	Automation Control > Design & Configuration > Legacy Programming Software > 6200-PLC3
313	Automation Control > Design & Configuration > Legacy Programming Software > 6200-PLC5
321	Automation Control > Design & Configuration > Legacy Programming Software > AI Emulate 5
322	Automation Control > Design & Configuration > Legacy Programming Software > AI Emulate 500
314	Automation Control > Design & Configuration > Legacy Programming Software > AI-100/150
315	Automation Control > Design & Configuration > Legacy Programming Software > AI-2
316	Automation Control > Design & Configuration > Legacy Programming Software > AI-3
317	Automation Control > Design & Configuration > Legacy Programming Software > AI-5
319	Automation Control > Design & Configuration > Legacy Programming Software > AI-5/250
318	Automation Control > Design & Configuration > Legacy Programming Software > AI-500
320	Automation Control > Design & Configuration > Legacy Programming Software > AI-Micro
2806	Automation Control > Design & Configuration > Legacy Programming Software > DataSite Workbench
325	Automation Control > Design & Configuration > Legacy Programming Software > PID Logistics 5
326	Automation Control > Design & Configuration > Legacy Programming Software > PID Logistics 500
327	Automation Control > Design & Configuration > Legacy Programming Software > PLC2A and T3
328	Automation Control > Design & Configuration > Legacy Programming Software > PLC5/250
341	Automation Control > Design & Configuration > Legacy Programming Software > RSGuardian
334	Automation Control > Design & Configuration > Legacy Programming Software > RSPocketLogix
346	Automation Control > Design & Configuration > Legacy Programming Software > RSTestStand
347	Automation Control > Design & Configuration > Legacy Programming Software > RSWire
336	Automation Control > Design & Configuration > Legacy Programming Software > WINtelligent Logic 5
329	Automation Control > Design & Configuration > RSLogix 5
330	Automation Control > Design & Configuration > RSLogix 500
331	Automation Control > Design & Configuration > RSLogix 5000
4417	Automation Control > Design & Configuration > RSLogix 5000 / Studio 5000 Logix Designer
4418	Automation Control > Design & Configuration > RSLogix 5000 / Studio 5000 Logix Designer > Logix Designer
4884	Automation Control > Design & Configuration > RSLogix 5000 / Studio 5000 Logix Designer > Logix Emulate
332	Automation Control > Design & Configuration > RSLogix Architect / Studio 5000 Architect
342	Automation Control > Design & Configuration > RSLogix Emulate 5
343	Automation Control > Design & Configuration > RSLogix Emulate 500
344	Automation Control > Design & Configuration > RSLogix Emulate 5000 / Studio 5000 Logix Emulate
333	Automation Control > Design & Configuration > RSLogix Frameworks
2772	Automation Control > Design & Configuration > SoftLogix
451	Automation Control > Design & Configuration > SoftLogix > SoftLogix5
452	Automation Control > Design & Configuration > SoftLogix > SoftLogix5800
4403	Automation Control > Design & Configuration > Studio 5000 View Designer
4429	Automation Control > Energy Monitoring
5566	Automation Control > Energy Monitoring > PowerMonitor
3008	Automation Control > Energy Monitoring > PowerMonitor > 1408 PowerMonitor 1000
3036	Automation Control > Energy Monitoring > PowerMonitor > 1420 PowerMonitor 500
3038	Automation Control > Energy Monitoring > PowerMonitor > 1426 PowerMonitor 5000
355	Automation Control > Energy Monitoring > RSPower32
5567	Automation Control > Energy Monitoring > Unsupported
3032	Automation Control > Energy Monitoring > Unsupported > 1407 Combination Generator Control
3033	Automation Control > Energy Monitoring > Unsupported > 1411 Current Transformers
3035	Automation Control > Energy Monitoring > Unsupported > 1413 Capacitor Bank Controller
5568	Automation Control > Energy Monitoring > Unsupported > PowerMonitor
3007	Automation Control > Energy Monitoring > Unsupported > PowerMonitor > 1404 PowerMonitor 3000
3034	Automation Control > Energy Monitoring > Unsupported > PowerMonitor > 1412 PowerPad Portable PowerMonitor
3037	Automation Control > Energy Monitoring > Unsupported > PowerMonitor > 1425 PowerMonitor W250
226	Automation Control > Energy Monitoring > Unsupported > RSPower
212	Automation Control > Energy Monitoring > Unsupported > RSPowerTools
51	Automation Control > Input/Output (I/O) Modules
5571	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular
1848	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 1715 Redundant I/O
3053	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 1715 Redundant I/O > Communication Interfaces
3052	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 1715 Redundant I/O > Modules
6200	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 5015 FLEXHA 5000
6202	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 5015 FLEXHA 5000 > Communication Interfaces
6201	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 5015 FLEXHA 5000 > Modules
6204	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 5015 FLEXHA 5000 > Power Supplies
6203	Automation Control > Input/Output (I/O) Modules > 1715/5015 Distributed I/O, In-Cabinet Modular > 5015 FLEXHA 5000 > Terminal Bases
5573	Automation Control > Input/Output (I/O) Modules > 1732 Safety Distributed I/O, On-Machine Block
2813	Automation Control > Input/Output (I/O) Modules > 1732 Safety Distributed I/O, On-Machine Block > 1732DS/ES ArmorBlock Guard I/O
1984	Automation Control > Input/Output (I/O) Modules > 1732 Safety Distributed I/O, On-Machine Block > 1732DS/ES ArmorBlock Guard I/O > 1732DS-IB8
1985	Automation Control > Input/Output (I/O) Modules > 1732 Safety Distributed I/O, On-Machine Block > 1732DS/ES ArmorBlock Guard I/O > 1732DS-IB8XOBV4
4420	Automation Control > Input/Output (I/O) Modules > 1732 Safety Distributed I/O, On-Machine Block > 1732DS/ES ArmorBlock Guard I/O > 1732ES-IB12XOB4
4419	Automation Control > Input/Output (I/O) Modules > 1732 Safety Distributed I/O, On-Machine Block > 1732DS/ES ArmorBlock Guard I/O > 1732ES-IB12XOBV2
6100	Automation Control > Input/Output (I/O) Modules > 1732/5032 (I/O) On-Machine Block
6101	Automation Control > Input/Output (I/O) Modules > 1732/5032 (I/O) On-Machine Block > 1732IL IO-Link Hubs
2810	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block
384	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 1732D ArmorBlock I/O
626	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 1732E ArmorBlock I/O
6098	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 1732E-8IOLM12R IO-Link Master
5111	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 1732IL ArmorBlock I/O
385	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 1792 ArmorBlock
6049	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 5032 ArmorBlock 5000 I/O with IO-Link
6237	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 5032 Configurable Digital I/O
6215	Automation Control > Input/Output (I/O) Modules > 1732/5032 Distributed I/O, On-Machine Block > 5032 IO-Link Masters
2807	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular
4762	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1718/1719 Ex
395	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O
6099	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > 1734-4IOL IO-Link Master
2814	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT Guard I/O (1734)
5684	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT Guard I/O (1734) > 1734-IB82
1986	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT Guard I/O (1734) > 1734-IB8S
1988	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT Guard I/O (1734) > 1734-IE4S
1987	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT Guard I/O (1734) > 1734-OB8S
3048	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT I/O Communication Interfaces
3049	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT I/O Modules
3050	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT I/O Power Supplies
3051	Automation Control > Input/Output (I/O) Modules > 1734/1718/1719 Distributed I/O, In-Cabinet Modular > 1734 Point I/O > POINT I/O Terminal Bases
2809	Automation Control > Input/Output (I/O) Modules > 1738 Distributed I/O, On-Machine Modular
386	Automation Control > Input/Output (I/O) Modules > 1738 Distributed I/O, On-Machine Modular > 1738 ArmorPoint I/O
5569	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block
2776	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1753 Guard PLC Safety I/O
628	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1753 Guard PLC Safety I/O > SmartGuard 600 (1752)
2797	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1753 Guard PLC Safety I/O > SmartGuard 600 (1752) > SmartGuard 600 with Safety
2812	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O
1623	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791DS-IB12
1624	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791DS-IB16
1627	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791DS-IB4XOW4
1625	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791DS-IB8XOB8
1626	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791DS-IB8XOBV4
1628	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791ES-IB16
1629	Automation Control > Input/Output (I/O) Modules > 1753/1791 Safety Distributed I/O, In-Cabinet Block > 1791 CompactBlock Guard Safety I/O > 1791ES-IB8XOBV4
1454	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O
396	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1746 SLC 500 I/O
610	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1756 ControlLogix I/O
2801	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1760 Pico Expansion I/O
603	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1762 MicroLogix I/O
388	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1769 Compact I/O
393	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1770 Interface/Comm
394	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1771 Universal I/O
391	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 1793 Flex Integra
1922	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 2080 Micro800 I/O
4685	Automation Control > Input/Output (I/O) Modules > 1756/1769/5069/2080 Chassis-based I/O > 5069 Compact I/O
2808	Automation Control > Input/Output (I/O) Modules > 1790/1791 Distributed I/O, In-Cabinet Block
389	Automation Control > Input/Output (I/O) Modules > 1790/1791 Distributed I/O, In-Cabinet Block > 1790 CompactBlock
387	Automation Control > Input/Output (I/O) Modules > 1790/1791 Distributed I/O, In-Cabinet Block > 1791 Block I/O
5572	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular
392	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 1794 Flex
3054	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 1794 Flex > Communication Interfaces
3055	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 1794 Flex > Modules
3057	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 1794 Flex > Power Supplies
3056	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 1794 Flex > Terminal Bases
4952	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 5094 Flex 5000
4953	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 5094 Flex 5000 > Communication Interfaces
4954	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 5094 Flex 5000 > Modules
4955	Automation Control > Input/Output (I/O) Modules > 1794/5094 Distributed I/O, In-Cabinet Modular > 5094 Flex 5000 > Terminal Bases
5570	Automation Control > Input/Output (I/O) Modules > 1797 Distributed I/O, In-Cabinet Modular
390	Automation Control > Input/Output (I/O) Modules > 1797 Distributed I/O, In-Cabinet Modular > 1797 Flex Ex
6479	Automation Control > Input/Output (I/O) Modules > 5034 Distributed I/O
6480	Automation Control > Input/Output (I/O) Modules > 5034 Distributed I/O > 5034 PointMax I/O
6481	Automation Control > Input/Output (I/O) Modules > 5034 Distributed I/O > 5034 PointMax Safety I/O
1455	Automation Control > Input/Output (I/O) Modules > Embedded I/O
613	Automation Control > Input/Output (I/O) Modules > Embedded I/O > Embedded I/O (1799)
5574	Automation Control > Input/Output (I/O) Modules > Integrated Condition Monitoring
